filename, Unlabeled, galley, island, l-shape, one-wall, u-shape
3403745869_1175c228f9_o_jpg.rf.ee24ce9ed143e442c35d3fb014c1b526.jpg, 0, 0, 1, 0, 0, 0
25037340758_a4a51909b9_o_jpg.rf.ef3d0349c60f0782adee3d4e5eb0fd42.jpg, 0, 0, 0, 1, 0, 0
40391916664_cc53b9cf8a_b_jpg.rf.eec519cee50d065feeee01b305ddea62.jpg, 0, 0, 1, 0, 0, 0
50854230588_8e1de1e117_b_jpg.rf.ee758f8a5e0ba917789f10537be1cfa5.jpg, 0, 0, 0, 0, 1, 0
14530949363_bf16114828_o_jpg.rf.eec311fcecc8108193541a90ff64f48c.jpg, 0, 0, 0, 1, 0, 0
14541980435_06e9f05e3e_o_jpg.rf.ee7310ac70fa6a772f8145737c34815a.jpg, 0, 0, 0, 1, 0, 0
5976813231_f2acc364d7_b_jpg.rf.eea97ae557b77c535e2cd2854beb68ae.jpg, 0, 0, 1, 0, 0, 0
51014849341_492273dcc1_o_jpg.rf.ee7b4c0d2d77cbd137498715941716a9.jpg, 0, 0, 0, 0, 1, 0
76109026_d88b04f926_b_jpg.rf.ee4bb08a1f135a7133efd68f8a9f063f.jpg, 0, 0, 1, 0, 0, 0
11329537994_4bb6ed1de5_o_jpg.rf.ee77e1f0fd38837b5a0c012636eaba59.jpg, 0, 0, 1, 0, 0, 0
9565607725_175abff8b8_o_jpg.rf.eef5979e39b490b1ea49ab0713e29ecc.jpg, 0, 0, 1, 0, 0, 0
14852615247_2c8c4ab85b_b_jpg.rf.ef411caedbb8601867b55d0e70aa8915.jpg, 0, 0, 1, 0, 0, 0
8573368772_3e1fef0d1c_b_jpg.rf.eed309586968a1848a6dfded2ca6820f.jpg, 0, 0, 0, 0, 0, 1
31705794631_57ab3fa478_o_jpg.rf.ee734559dd38d802fbbea1243b7442a1.jpg, 0, 0, 0, 1, 0, 0
50123568082_01d547d893_o_jpg.rf.ef34d0c2838277c7c3868dd104dc5916.jpg, 0, 0, 0, 0, 0, 1
42717673961_faa19fa5f5_b_jpg.rf.eee66465c51c77c8e753bdc662e962ce.jpg, 0, 0, 0, 0, 1, 0
3035841975_fb0f764780_o_jpg.rf.ee614e7cf2fdbbe7613fd49599afb395.jpg, 0, 0, 0, 0, 1, 0
3488371655_de8b4bc87e_b_jpg.rf.ee4a5b7a54fd482db4f5b368739aa5c8.jpg, 0, 0, 0, 1, 0, 0
15948732691_787b190871_o_jpg.rf.eead54f5cd8690dc8dc0504ac875d824.jpg, 0, 0, 0, 0, 1, 0
